room,sigma,error
74,0.0355622,0.09410252387688657
74,0.0671794,0.07610422984302509
74,0.0459214,0.06407226173626147
74,0.0250264,0.022514171115100037
75,0.0257186,0.007899322755780853
75,0.035278,0.002703516228913861
75,0.0317555,0.0037235119175317204
75,0.0257771,0.00494792885963405
75,0.361903,0.11156005378270488
75,1.24913,0.10169916469666797
75,0.0319488,0.015427783379344999
75,0.0285486,0.0013648809471891194
75,0.0248816,0.007597644371777045
75,0.0251245,0.003636069306270405
76,0.0292625,0.02338424469594874
76,0.0244809,0.016505589962191817
76,0.0237156,0.004667815334822158
76,0.0230802,0.015294737657115991
76,0.0292549,0.01630861379762236
76,0.0258482,0.01660005650592807
77,0.0279529,0.020527311075735095
77,0.0227781,0.01711309732339493
77,0.0215732,0.016498657521143704
77,0.0399204,0.016656605296398348
77,0.349383,0.02141647844534671
77,0.285033,0.024067767844151954
78,0.0218322,0.1284730321896391
78,0.0218322,0.21562517292746672
78,0.0604612,0.06064402691114766
78,0.0783442,0.06899987971004042
78,0.0349655,0.0718973052346192
78,0.0805615,0.05103147867738098
78,0.125711,0.187641529254587
78,0.125711,0.03337589699169168
78,0.125711,0.031537295381817584
78,0.0315608,0.043506620185898584
79,0.023146,0.02178615617772002
79,0.0211944,0.03007700118030433
79,0.0252027,0.031224762609185344
79,0.0292364,0.02325677881822802
79,0.0349123,0.028587269894132707
79,0.0275166,0.021516598244146208
79,0.0331045,0.015278697588472516
79,0.0288399,0.025789790615668256
80,0.0265483,0.006451356446515861
80,0.0214426,0.016411118182500215
80,0.126255,0.019147370576661413
80,0.15219,0.02109030345917309
80,0.0250626,0.02715558506090413
80,0.0259743,0.01694126913781884
80,0.0268007,0.011264040127769742
80,0.0330097,0.013257186730222649
81,0.0246233,0.012960246911228584
81,0.0219474,0.008362254480700404
81,0.024417,0.014149558296992692
81,0.029707,0.016020249685944326
81,0.0244742,0.01507894558647912
81,0.0244742,0.1810884814117122
82,0.0366325,0.018135724413433217
82,0.029589,0.01215413098497769
82,0.0423983,0.00857838236499152
82,0.0332984,0.004437552140538608
82,0.0241205,0.008071139944270824
